Skeleton,Table,Line Number
BCHECKO1,BCHECKO2,7
BCHECKO1,BCHECKO1,10
BCHECKO2,BCHECKO1,10
BCHECKO2,BCHECKO1,22
BCHECKO2,BCHECKO1,32
BNDCMRPM,CMNDB2SS,6
CAS$$017,GNDSCTBL,22
CAS$$017,IMPINTBL,28
CAS$$020,GNDSCTBL,23
CAS$$020,IMPINTBL,29
CAS$$020,&RMLBTBL,167
CAS$$020,&STGLTYP.CPYTB,212
CAS$$020,&STGLTYP.DELTB,260
CAS$$020,&STGLTYP.CPYTB,315
CAS$$020,&STGLTYP.DELTB,361
CAS$$020,&STGLTYP.RENTB,378
CAS$$020,&RMLBTBL,466
CHU0751,CHTYPTS,14
CHU0751,CHTYPTS,20
CHU0751,CHCMPTS,34
CHU0751,CHCMPTS,52
CHU0752,CHTYPTR,9
CHU0752,CHTYPTR,15
CHU0752,CHCMPTR,30
CHU0752,CHCMPTR,42
CICPHAI8,RPMLIBTB,63
CICPHAI8,&RMLBTBL,70
CICPHAI8,&STGLTYP.CPYTB,72
CICPHAIN,RPMTBLLC,90
CICPHAIN,&RMLBTBL,96
CICPHAIN,&STGLTYP.CPYTB,98
CMN$$ACB,ACBBLDTB,118
CMN$$AUD,SCOPTABL,119
CMN$$BBL,CMPMBRTB,5
CMN$$BLA,PROJLTBL,15
CMN$$BLG,LOGRITBL,19
CMN$$BRC,CMPCPYTB,28
CMN$$BRT,CMPCPYTB,13
CMN$$BSN,APPLLTBL,12
CMN$$BSN,LTYPLTBL,15
CMN$$CBL,DLTLIBTB,375
CMN$$CBL,DLTLIBTB,411
CMN$$CKA,LTYPETBL,16
CMN$$CKA,LTYPETBL,36
CMN$$CKA,LTYPETBL,56
CMN$$CKO,CMPMBRTB,16
CMN$$CKO,CMPMBRTB,63
CMN$$CKO,CMPMBRTB,91
CMN$$CKO,CMPMBRTB,176
CMN$$CKO,CMPMBRTB,179
CMN$$CKO,DLTLIBTB,180
CMN$$CKO,DLTLIBTB,226
CMN$$CKO,CMPMBRTB,272
CMN$$CKO,CMPMBRTB,291
CMN$$CKO,CMPMBRTB,319
CMN$$CKO,CMPMBRTB,390
CMN$$CKO,CMPMBRTB,410
CMN$$CLN,RPMLIBTB,9
CMN$$CLN,CLNMODTB,12
CMN$$CLN,CLNMODTB,56
CMN$$CLN,CLNMODTB,71
CMN$$CLN,CLNMODTB,86
CMN$$CLN,CLNMODTB,101
CMN$$CNC,RPMLIBTB,15
CMN$$CNC,RPMTB&LIBTYPE,39
CMN$$CPR,STGSLTBL,23
CMN$$CPR,STGSLTBL,30
CMN$$CPR,STGSLTBL,50
CMN$$CPR,STGSLTBL,57
CMN$$CPR,STGSLTBL,61
CMN$$CPR,DLTLIBTB,62
CMN$$CPR,STGSLTBL,88
CMN$$CPR,STGSLTBL,95
CMN$$CPR,STGSLTBL,114
CMN$$CPR,STGSLTBL,121
CMN$$CPR,STGSLTBL,179
CMN$$CPR,STGSLTBL,186
CMN$$DEL,RPMTB&LIBTYPE,27
CMN$$F10,RPMSTTBL,42
CMN$$F10,&RMLBTBL,64
CMN$$IGN,RPMTB&LIBTYPE,67
CMN$$ILC,SYSLODTB,8
CMN$$ILC,LTYPETBL,19
CMN$$ILC,XPOLLTBL,28
CMN$$ILC,RPMLIBTB,41
