Skeleton,Program,Line Number
#PRINTX,SERCOPY,35
#PRINTX,HI7007,61
AUDITS,SY7660,9
AUDITS,CH8700,14
BCHECKO2,IDCAMS,7
BCHECKO2,IEBCOPY,20
CAS$$017,IKJEFT01,80
CAS$$020,IEFBR14,100
CAS$$020,IKJEFT01,127
CAS$$020,IDCAMS,402
CAS$$020,IEBGENER,491
CAS$$020,IEFBR14,527
CAS$$020,SY7060,531
CAS$$050,IKJEFT01,24
CAS$$050,CH9030,48
CHU0016B,IEBCOPY,6
CHU0018,IDCAMS,20
CHU0018,IEBCOPY,32
CHU0018,MEMOAPIX,103
CHU0018,IDCAMS,128
CHU0751,CSMUTIL,6
CHU0751,CSMUTIL,24
CHU0752,IDCAMS,6
CHU0752,CSMUTIL,19
CICPHAI8,IEBGENER,30
CICPHAI8,CMN@CLI,51
CICPHAIN,IEBGENER,33
CICPHAIN,CMN@CLI,78
CMN$$ACB,DFSRRC00,18
CMN$$ARE,IEFBR14,21
CMN$$ARE,CMNBAT45,25
CMN$$ARE,IKJEFT01,42
CMN$$ASM,ASMA90,10
CMN$$AUD,CMNAD000,75
CMN$$AUD,SORT,129
CMN$$AUD,SORT,145
CMN$$AUD,CMNAD500,165
CMN$$AUD,CMNAUDRC,183
CMN$$AUD,CMNAUDRC,197
CMN$$AUD,CMNAUDRC,210
CMN$$AUD,CMNAUDRC,220
CMN$$AUD,IEBGENER,232
CMN$$AUD,IEBGENER,240
CMN$$AUD,SERCOPY,247
CMN$$AUD,IKJEFT1A,262
CMN$$AUD,IEBGENER,275
CMN$$BDT,BDTBATCH,5
CMN$$BLA,CMNBASLN,6
CMN$$BLG,CMNBAT30,6
CMN$$BRC,CMNRCKIB,11
CMN$$BRT,CMNRTRVB,3
CMN$$BSN,CMNBSCAN,5
CMN$$CA7,SASSBSTR,7
CMN$$CAS,IEBCOPY,7
CMN$$CAS,SASSBSTR,30
CMN$$CBL,SERCOPY,12
CMN$$CBL,IEBGENER,27
CMN$$CBL,SERCOPY,42
CMN$$CBL,PAN#1,73
CMN$$CBL,CMNPOPLP,91
CMN$$CBL,AFOLIBR,108
CMN$$CBL,AFOLIBR,117
CMN$$CBL,SERCOPY,143
CMN$$CBL,PAN#1,166
CMN$$CBL,CMNPOPLP,184
CMN$$CBL,AFOLIBR,201
CMN$$CBL,AFOLIBR,210
CMN$$CBL,AFOLIBR,234
CMN$$CBL,SERCOPY,264
CMN$$CBL,PAN#1,283
CMN$$CBL,CMNPOPLP,301
CMN$$CBL,AFOLIBR,318
CMN$$CBL,AFOLIBR,327
CMN$$CBL,SERCOPY,352
CMN$$CBL,CMNDELTA,376
CMN$$CBL,SERCOPY,392
CMN$$CBL,CMNDELTA,412
CMN$$CBL,IEBGENER,421
CMN$$CBL,PAN#1,429
CMN$$CBL,CMNPOPLP,447
CMN$$CBL,AFOLIBR,464
CMN$$CBL,AFOLIBR,473
CMN$$CBL,PAN#1,497
CMN$$CBL,CMNPOPLP,520
CMN$$CBL,AFOLIBR,537
CMN$$CBL,AFOLIBR,546
CMN$$CBL,PAN#1,566
CMN$$CBL,CMNUPDAT,588
CMN$$CBL,SERCOPY,603
CMN$$CBL,IEBGENER,629
CMN$$CBL,PAN#1,637
CMN$$CBL,CMNPOPLP,655
CMN$$CBL,AFOLIBR,672
CMN$$CBL,AFOLIBR,681
CMN$$CEE,CCNDRVR,7
CMN$$CIC,DFHECP1$,14
CMN$$CIC,DFHEAP1$,48
CMN$$CIC,DFHEPP1$,52
CMN$$CKA,IEFBR14,9
CMN$$CKA,PAN#4,31
CMN$$CKA,AFOLIBR,45
CMN$$CKO,IEBGENER,17
CMN$$CKO,SERCOPY,27
CMN$$CKO,SERCOPY,106
CMN$$CKO,SERCOPY,144
CMN$$CKO,CMNDELTA,181
CMN$$CKO,SERCOPY,198
CMN$$CKO,CMNDELTA,227
CMN$$CKO,IEBGENER,236
CMN$$CKO,PAN#1,255
CMN$$CKO,PAN#2,285
CMN$$CKO,CMNUPDAT,301
CMN$$CKO,IEBGENER,323
CMN$$CKO,SERCOPY,365
CMN$$CLN,CMNDELRN,49
CMN$$CLN,SY4020,63
CMN$$CLN,SY4020,78
