Parent Skel, Concatenation Offset, Imbedded Skel, Concatenated Offset,Line Number, Optional, No File Tailoring, Extended
BNDCMRPM,1,CMN$$SNM,1,9,,,NOEXT
BNDCMRPM,1,CMN$$RPJ,1,10,,,NOEXT
BNDCMRPM,1,SKIRMLIB,1,19,,,NOEXT
BNDCMRPM,1,BNDCMPTA,1,22,,,NOEXT
CAS$$017,1,SKM$$VAR,1,7,,,NOEXT
CAS$$017,1,SKMAPPLV,1,43,,,NOEXT
CAS$$020,1,SKM$$VAR,1,7,,,NOEXT
CAS$$020,1,CMN00INS,1,62,,,NOEXT
CAS$$020,1,SKM$$XLB,1,131,,,NOEXT
CAS$$020,1,CMN00INS,1,424,,,NOEXT
CAS$$020,1,CMN99INS,1,442,,,NOEXT
CAS$$020,1,CICPHAIN,1,479,,,NOEXT
CAS$$020,1,CICPHAI8,1,481,,,NOEXT
CAS$$050,1,SKM$$XLB,1,28,,,NOEXT
CAS$$050,1,SKM$$SLB,1,50,,,NOEXT
CHU0751,1,CHU0750,1,2,,,NOEXT
CHU0752,1,CHU0750,1,2,,,NOEXT
CHU0852,1,SKM$$JLB,1,15,,,NOEXT
CHU0852,1,SKM$$XLB,1,21,,,NOEXT
CMN$$ARE,1,SKSDBSET,1,5,,,NOEXT
CMN$$ARE,1,CMN$$SPR,1,29,,,NOEXT
CMN$$ASM,1,CMN$$SYC,1,34,,,NOEXT
CMN$$ASM,1,SKM$$XPA,1,56,,,NOEXT
CMN$$AST,1,CMN$$JCD,1,1,,,NOEXT
CMN$$AUD,1,SKM$$VAR,1,3,,,NOEXT
CMN$$AUD,1,SKSSYNCN,1,13,,,NOEXT
CMN$$AUD,1,CMN$$SPR,1,78,,,NOEXT
CMN$$AUD,1,CMN$$SPR,1,167,,,NOEXT
CMN$$AUD,1,CMN$$SPR,1,185,,,NOEXT
CMN$$AUD,1,CMN$$SPR,1,199,,,NOEXT
CMN$$AUD,1,CMN$$SPR,1,212,,,NOEXT
CMN$$AUD,1,CMN$$SPR,1,222,,,NOEXT
CMN$$AUD,1,CMN$$ENQ,1,252,,,NOEXT
CMN$$BBL,2,CMN$$CBL,1,7,,,NOEXT
CMN$$BBL,2,CMN$$PBL,1,10,,,NOEXT
CMN$$BLA,2,CMN$$JCD,1,1,,,NOEXT
CMN$$BLA,2,CMN$$SPR,1,8,,,NOEXT
CMN$$BLG,2,CMN$$JCD,1,1,,,NOEXT
CMN$$BRC,1,CMN$$JCD,1,8,,,NOEXT
CMN$$BRC,1,CMN$$SPR,1,13,,,NOEXT
CMN$$BRC,1,SCMEVTCK,1,51,,,NOEXT
CMN$$BRC,1,SCMEVTCK,1,56,,,NOEXT
CMN$$BRT,2,CMN$$JCD,1,1,,,NOEXT
CMN$$BRT,2,CMN$$SPR,1,5,,,NOEXT
CMN$$BSN,2,CMN$$SPR,1,7,,,NOEXT
CMN$$CAS,2,CMN$$ENQ,1,11,,,NOEXT
CMN$$CBL,1,CMN$$SPR,1,94,,,NOEXT
CMN$$CBL,1,CMN$$SPR,1,187,,,NOEXT
CMN$$CBL,1,CMN$$SPR,1,304,,,NOEXT
CMN$$CBL,1,CMN$$SPR,1,450,,,NOEXT
CMN$$CBL,1,CMN$$SPR,1,523,,,NOEXT
CMN$$CBL,1,CMN$$SPR,1,658,,,NOEXT
CMN$$CEE,2,CMN$$SYC,1,26,,,NOEXT
CMN$$CKO,1,CMN$$SSV,2,5,,,NOEXT
CMN$$CKO,1,CMN$$CKA,2,6,,,NOEXT
CMN$$CKO,1,CMN$$PAN,2,68,,,NOEXT
CMN$$CKO,1,CMN$$LB2,1,71,,,NOEXT
CMN$$CKO,1,CMN$$LIB,2,80,,,NOEXT
CMN$$CKO,1,CMN$$PAN,2,133,,,NOEXT
CMN$$CKO,1,CMN$$LB2,1,136,,,NOEXT
CMN$$CKO,1,CMN$$PAN,2,244,,,NOEXT
